genome,D300422,D300428,D300437,D300443,D300453,D300458,D300464,D300465,D300474,D300478,D300480,D300484,D300495,D300497,D300499,D300503,D300509,D300512,D300514,D300515,D300517,D300521,D300523,D300526,D300529,classification
GPB:bin_000056,0.0,0.0,0.0,0.0,0.0,3.3507162308670746,7.023160123270246,0.0,0.0,21.64880357859332,0.0,32.81654160370835,20.019250305187764,19.178329961328654,9.358220008365986,3.5054976481334457,0.0,0.8104015673419213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia sp905200945
D300462:bin_000001,0.0,207.2325134822477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.91571043364353,0.0,0.0,0.0,0.0,0.0,84.34373989894695,0.0,0.0,0.0,76.64450460182712,0.0,0.0,0.0,40.01845834538371,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes excrementavium
GPB:bin_000010,3.7351484321673096,2.667530979436121,28.4219506030756,3.2285674488550167,6.395242204010168,1.5846924620119411,11.896569871619931,4.629252050116695,0.7846884282722295,1.763406039390729,4.3021409703791145,2.5864149949231603,1.2178742569882963,1.2428960486368166,19.64733770027675,0.9576665319985856,1.4991645746894178,2.756966552104257,1.09686206564029,4.278852426262923,10.78820534508328,0.6798742229536177,19.23974090785615,4.440296555501422,0.9521831670781292,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
GPB:bin_000087,5.730508659144545,1.7041267372244309,3.496593716207641,5.62832436612113,7.496216100012577,0.7234360935238823,0.8800680271917426,4.385440897859884,7.922764825867441,3.3029036209228635,12.130934335582616,5.303833310869578,3.4065651755141504,2.8377350569364745,3.3649908142468794,7.378246211949611,4.274308620482499,7.127998102351997,3.231784028298141,0.7737051943049175,1.794788390018439,5.314258556791422,3.364273287199627,6.897376467870405,0.0,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Rubneribacter;Rubneribacter badeniensis
GPB:bin_000078,0.0,0.0,0.0,1.9481044618823773,0.0,1.701404436514328,0.0,0.0,2.7692035283722056,2.520034800196816,0.0,2.529015770754555,1.9633848809829864,0.0,0.0,0.0,0.0,3.9480516827189103,1.785595715012948,0.0,0.0,2.2323883593001144,0.0,2.424734359065162,0.0,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;Gordonibacter urolithinfaciens
GPB:bin_000074,0.0,0.0,5.484448141976722,0.0,0.0,57.46434893136615,23.577450304873423,0.0,0.0,63.5227351661135,0.0,45.10493921294193,17.78230033525298,30.46211258080922,23.67856911888107,40.09698304253856,0.0,12.618574085000482,0.0,3.1148826295203063,0.0,0.0,28.12436376585146,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp900557315
GPB:bin_000111,0.0,2.3159827828040123,3.0508466406705645,41.07891857500229,4.217104406965927,5.000168701528436,27.729952233367232,0.0,107.09910491789056,3.456115912410166,4.212718167226595,3.8779179339364815,8.137968929998506,31.59095181402344,23.04019434416076,28.24844433090564,46.00722042541705,5.369143044435982,63.91382725927497,27.338130883465805,7.62641769534432,35.80800802055266,0.0,59.240361117671725,2.010970419392,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum intestinigallinarum
GPB:bin_000192,0.0,0.0,0.0,0.0,0.0,1.9518117110681483,1.6332707365771513,0.0,0.0,0.9647749781834803,0.0,0.0,1.3773594986454958,1.5596090637992206,0.0,0.0,0.0,1.065744403394868,0.0,0.0,0.0,0.0,2.600717125324774,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp900291975
D300506:bin_000004,38.62029279520916,0.0,32.466034000136546,4.439153800388183,44.27402978669449,54.856733216943496,0.0,66.31998751572725,5.9025056325527405,24.63195778755279,0.0,6.067180992694749,65.18077812131202,1.7342995640257877,0.0,0.0,12.818461118317744,65.58433223770835,0.0,0.0,0.0,0.0,4.262189234265427,3.933248154180768,9.682021671917212,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum stercoravium
GPB:bin_000173,0.0,0.0,0.0,6.546984398216189,0.0,7.215875447995231,0.0,0.0,7.933336090485706,9.22568822053722,0.0,6.959447668407371,7.289902467416007,0.0,0.0,0.0,0.0,10.685991278656312,3.443447946812513,0.0,0.0,6.204425027815296,0.0,7.000149289713837,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Pseudobutyricicoccus;Pseudobutyricicoccus lothianensis
GPB:bin_000112,17.71920868724276,0.0,23.71395680513592,5.6224521468057365,20.584001769149555,0.0,27.738238831822464,23.12844519705643,9.445010711998505,0.0,10.797677654439964,0.0,0.0,22.095538566281647,27.95035997590993,32.610037229597104,9.941447435996018,0.0,3.881703277922057,10.43586355770812,7.859595643805983,8.400106755154079,13.299898913757888,7.080022024564911,8.30261269488288,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor avicola
