genome,D300418,D300419,D300427,D300439,D300446,D300449,D300458,D300467,D300473,D300475,D300478,D300484,D300486,D300490,D300492,D300495,D300496,D300504,D300506,D300512,D300519,D300527,D300528,classification
GPB:bin_000056,3.2969882449355903,0.0,8.306015827080184,0.0,0.0,0.0,3.3507162308670746,10.495471269666467,0.0,0.0,21.64880357859332,32.81654160370835,0.0,5.865474086784302,0.0,20.019250305187764,5.190592960620107,0.0,0.0,0.8104015673419213,0.0,0.0,0.0,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia sp905200945
GPB:bin_000009,0.0,14.643643036574824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817974127229293,0.0,0.0,1.5757493281233308,0.0,104.39550021817716,0.0,0.0,0.0,15.148718832825848,0.0,1.4786733988444545,0.0,3.660932261490711,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
GPB:bin_000051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.069646944842849,1.2524274862683502,0.0,0.0,1.2157399548049332,0.0,0.0,0.0,0.0,0.0,1.1939152450023358,0.0,1.765405309254627,1.1712486324477092,0.0,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
GPB:bin_000010,4.233567395281911,38.99230249014097,0.7404748594021116,14.249910343832193,54.1883138778924,62.499267308997695,1.5846924620119411,4.512399652846276,9.39602941352576,9.37986294108786,1.763406039390729,2.5864149949231603,6.246025348272457,1.9644942667322989,149.1029341044499,1.2178742569882963,1.8252987330905943,10.743960262621666,9.401292183305738,2.756966552104257,11.769065880423568,10.721995289348342,12.69175232586062,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
GPB:bin_000002,0.0,18.396570111435707,0.0,1.2833755005111993,18.20532276906952,13.897870797948489,0.0,0.0,1.1328090369778958,3.090369778959356,0.0,0.0,0.8734979418255564,0.0,35.29070173073402,0.0,0.0,1.1941451009048414,1.4577052627051026,0.0,1.3648552878060705,0.9822032302348894,0.6204424170159906,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus;Proteus mirabilis
GPB:bin_000087,5.443877707503898,0.0,0.0,4.508138022940043,0.0,0.0,0.7234360935238823,2.663587021820982,1.1361829755874788,2.303261821680178,3.3029036209228635,5.303833310869578,0.0,12.2094402360467,0.0,3.4065651755141504,1.7979117430476552,3.267069476033612,0.9876970842796012,7.127998102351997,5.0126017446318425,1.597890526757709,1.3812817734342222,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Rubneribacter;Rubneribacter badeniensis
GPB:bin_000078,4.52811171476097,0.0,1.788958258491912,1.63751611041401,0.0,0.0,1.701404436514328,2.111975251679995,0.7764495967501656,2.091544607757175,2.520034800196816,2.529015770754555,0.0,3.1324859156248457,0.0,1.9633848809829864,1.7412867560053324,1.786659811050595,0.929168660073244,3.9480516827189103,3.170282606882062,0.6097270295716546,1.5837154147505843,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;Gordonibacter urolithinfaciens
GPB:bin_000074,54.46607429857555,0.0,54.900050858811305,32.725369604634615,0.0,0.0,57.46434893136615,37.35791269689825,20.145797920457458,15.234489459770838,63.5227351661135,45.10493921294193,0.0,25.42241955405525,0.0,17.78230033525298,44.4850924600415,28.62205356223258,0.0,12.618574085000482,0.0,6.824781414896921,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp900557315
GPB:bin_000111,0.0,0.0,4.918131558271917,9.821947586845136,83.57560479497944,2.9359850000241,5.000168701528436,6.459533323371909,8.412856020475544,0.0,3.456115912410166,3.8779179339364815,0.0,5.042103081453917,0.0,8.137968929998506,3.1070001494213537,0.0,0.0,5.369143044435982,0.0,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum intestinigallinarum
GPB:bin_000192,0.0,0.0,2.267038157636969,0.0,0.0,0.0,1.9518117110681483,0.0,0.0,0.0,0.9647749781834803,0.0,0.0,1.4644771653761444,0.0,1.3773594986454958,0.0,0.0,0.0,1.065744403394868,0.0,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp900291975
D300506:bin_000004,57.31211657189673,0.0,10.089672190307132,86.81768085127135,17.441309288103852,6.7485882043129255,54.856733216943496,68.5280067102966,97.42180261194392,113.48408742892254,24.63195778755279,6.067180992694749,80.81762233124286,40.16311482604921,0.0,65.18077812131202,19.904358766787933,53.70301085546528,139.00157028743087,65.58433223770835,72.90635820109432,50.17741321967443,109.48166860107872,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum stercoravium
GPB:bin_000173,12.720542768981227,26.832770807001687,4.242841406914333,18.20406491681637,26.643107303999248,32.285237163858575,7.215875447995231,11.166731896856946,11.137643098729928,15.871400529171511,9.22568822053722,6.959447668407371,7.040056548522687,13.377972302723226,14.985118942544643,7.289902467416007,9.546194574932844,12.517677717804109,11.927882476716352,10.685991278656312,9.785978568856349,4.4483543330835085,4.302191633521996,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Pseudobutyricicoccus;Pseudobutyricicoccus lothianensis
GPB:bin_000140,5.05328146462055,29.66707278572812,2.281349340000016,11.267656572460607,33.316945412022484,38.05448625938727,6.84310618544195,5.459438199453435,16.203321737466254,15.146508016519023,4.01579418880543,1.6487379040187704,11.992643141899809,5.956877539656886,86.44794254357116,4.570647763670352,1.3274969729437305,6.339676777449015,9.452816725776204,1.3774895512874126,10.362289848455053,4.075129765965414,10.366283226981375,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii
GPB:bin_000197,36.86695094911129,0.0,11.9725931420936,49.865042535152426,0.0,5.671682929103421,22.40520391551323,22.937540822735784,14.205191724407774,26.43466543245778,28.015160338334496,32.662645850554874,8.829275614632893,35.520062680592794,0.0,34.87663251791864,16.409962783398026,23.92043063032111,26.57239360309085,36.997921006937126,18.288139909559344,15.410990835709915,17.520208684741146,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor avistercoris
GPB:bin_000019,5.27592293145322,0.0,2.357580377073491,0.0,0.0,0.0,1.1645297266338308,0.0,0.0,0.0,1.1123160284273474,1.6819381087657626,0.0,2.738805081137797,0.0,2.1268247003477927,1.795474281891586,0.0,0.0,3.390704800308736,0.0,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;HGM12998;HGM12998 sp900756495
GPB:bin_000027,0.0,0.0,13.682060713155316,0.0,0.0,0.0,49.0915114986582,0.0,0.0,0.0,28.425202844700987,17.185153822960714,0.0,0.0,0.0,20.19429814758424,0.0,0.0,0.0,12.527882239819514,0.0,0.0,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Galloscillospira_A;Galloscillospira_A stercoripullorum
GPB:bin_000126,6.169508840933137,0.0,0.0,10.032166596101604,0.0,0.0,3.3897746997876634,4.152139636653543,0.0,13.73485097270516,0.0,2.726147430183567,4.570518101031493,4.063848318429195,0.0,4.138065476025702,4.147462819302056,5.784130349455872,10.80436596197762,4.279419002331415,13.900812425822908,7.990713967890517,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;Intestinimonas stercoravium
GPB:bin_000181,15.077273953816754,0.0,7.092311047532446,26.81615045965157,0.0,0.0,9.07807238357157,18.606961863889907,23.23049853806033,20.86463288865232,8.668063918737595,7.322968532256932,7.040117398745431,5.9436441664726045,0.0,17.12635520513361,9.47444100676078,10.698071570356078,18.17887783655108,12.912974853159158,26.326077233293045,9.887628404877814,10.86980789632242,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;Intestinimonas pullistercoris
D300430:bin_000010,5.870235839720423,6.289781167342973,1.218850650393555,9.403683175469313,0.0,14.326218400816233,0.0,2.5550580352709966,0.0,7.696862423386578,0.0,0.0,2.860545412258014,8.18138379650702,0.0,0.0,2.7994679294899947,3.7412707181952256,4.24943337556221,0.0,0.0,1.9289388645386067,0.0,Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;Intestinimonas timonensis
