,occurrences_across_networks,interaction_types
L-Isoleucine-L-Leucine,5,{'co-occurrence'}
L-Phenylalanine-L-Tyrosine,4,{'co-occurrence'}
Eisenbergiella intestinigallinarum-Eisenbergiella sp904392525,4,"{'co-occurrence', 'competition'}"
unclassified_Onthovicinus-treatment_TG1,3,{'co-occurrence'}
An181 sp002160325-treatment_TG3,3,{'co-occurrence'}
Eisenbergiella merdigallinarum-Lactobacillus johnsonii,3,"{'co-occurrence', 'cooperation', 'competition'}"
Gallacutalibacter pullicola-Choladocola avistercoris,3,"{'co-exclusion', 'competition'}"
L-Alanine-L-Glutamine,3,{'co-occurrence'}
Intestinimonas pullistercoris-Copromonas faecavium,3,"{'cooperation', 'co-exclusion', 'competition'}"
Flavonifractor avicola-Merdisoma faecalis,3,"{'co-occurrence', 'cooperation', 'competition'}"
Merdisoma sp002160825-Mediterraneibacter norwichensis,3,"{'co-occurrence', 'competition'}"
Lawsonibacter sp900545895-Lawsonibacter pullicola,3,"{'co-occurrence', 'competition'}"
Mediterraneibacter sp900761655-treatment_TG3,3,{'co-occurrence'}
Merdivicinus excrementipullorum-treatment_TG2,3,{'co-occurrence'}
Choladocola sp944381625-Blautia_A intestinavium,2,"{'co-occurrence', 'competition', 'co-exclusion'}"
Flavonifractor avistercoris-Mediterraneibacter faecavium,2,"{'cooperation', 'co-exclusion', 'competition'}"
Fimenecus stercoravium-treatment_TG5,2,{'co-occurrence'}
Gemmiger stercoravium-treatment_TG4,2,{'co-occurrence'}
Lachnoclostridium_A avicola-treatment_TG5,2,{'co-exclusion'}
Gemmiger stercoravium-Neoanaerotignum_A tabaqchaliae,2,"{'co-exclusion', 'competition'}"
Acutalibacter stercoravium-Eisenbergiella intestinigallinarum,2,"{'co-occurrence', 'competition'}"
unclassified_Lawsonibacter-treatment_TG2,2,"{'co-occurrence', 'co-exclusion'}"
unclassified_Lawsonibacter-Blautia_A intestinavium,2,"{'co-occurrence', 'competition', 'co-exclusion'}"
Mediterraneibacter faecavium-treatment_TG3,2,{'co-occurrence'}
Negativibacillus faecipullorum-treatment_TG3,2,{'co-exclusion'}
Merdisoma sp002160825-Merdibacter merdigallinarum,2,"{'co-occurrence', 'cooperation', 'competition'}"
Onthovicinus excrementipullorum-Gallimonas merdigallinarum,2,"{'co-exclusion', 'competition'}"
Alistipes excrementavium-treatment_TG1,2,{'co-occurrence'}
Pseudobutyricicoccus lothianensis-Blautia_A intestinavium,2,"{'co-occurrence', 'cooperation', 'competition'}"
Anaerotignum lactatifermentans-treatment_TG5,2,{'co-occurrence'}
Heritagella sp905215105-Merdibacter merdigallinarum,2,"{'co-occurrence', 'co-exclusion', 'competition'}"
Dysosmobacter avistercoris-treatment_TG3,2,{'co-exclusion'}
Mediterraneibacter excrementipullorum-Borkfalkia excrementigallinarum,2,"{'co-occurrence', 'competition'}"
Onthovicinus excrementipullorum-Anaerostipes butyraticus,2,"{'co-occurrence', 'competition'}"
unclassified_Choladocola-Limosilactobacillus reuteri_E,2,"{'co-occurrence', 'competition'}"
Heritagella sp905215105-Borkfalkia sp904373255,2,"{'co-occurrence', 'competition'}"
Merdisoma faecalis-Anaerobutyricum stercoris,2,"{'co-exclusion', 'competition'}"
CAJFUH01 sp904420155-Ligilactobacillus salivarius,2,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter sp019418195-Pullilachnospira stercoravium,2,"{'co-occurrence', 'competition'}"
Choladocola sp944381625-Scatosoma sp904419075,2,"{'co-occurrence', 'competition', 'co-exclusion'}"
Borkfalkia excrementigallinarum-Gallimonas merdigallinarum,2,"{'co-occurrence', 'competition'}"
Mediterraneibacter sp019418195-Merdimonas faecis,2,"{'co-occurrence', 'competition'}"
